Order ID,Product,Category,Quantity Sold,Unit Price,Total Sales,Region,Date
1001,Laptop,Electronics,5,800,4000,North,2023-01-01
1002,Smartphone,Electronics,10,500,5000,South,2023-01-02
1003,Tablet,Electronics,7,300,2100,West,2023-01-03
1004,Chair,Furniture,15,100,1500,East,2023-01-04
1005,Desk,Furniture,8,200,1600,North,2023-01-05
1006,Monitor,Electronics,3,150,450,South,2023-01-06
1007,Keyboard,Electronics,20,30,600,East,2023-01-07
1008,Mouse,Electronics,25,20,500,West,2023-01-08
1009,Sofa,Furniture,4,350,1400,North,2023-01-09
1010,Headphones,Electronics,30,50,1500,South,2023-01-10
1011,Table,Furniture,10,250,2500,West,2023-01-11
1012,Chair,Furniture,5,150,750,East,2023-01-12
1013,Smartwatch,Electronics,12,200,2400,North,2023-01-13
1014,Television,Electronics,2,1200,2400,South,2023-01-14
1015,Camera,Electronics,6,400,2400,West,2023-01-15
1016,Speaker,Electronics,15,100,1500,East,2023-01-16
1017,Printer,Electronics,5,250,1250,North,2023-01-17
1018,Desk Lamp,Furniture,10,40,400,South,2023-01-18
1019,Refrigerator,Electronics,3,900,2700,West,2023-01-19
1020,Fan,Furniture,20,40,800,North,2023-01-20
